T14,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
178,Congo,1995,Balance of Payments: Current account (millions of US dollars),-625,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
178,Congo,2010,Balance of Payments: Current account (millions of US dollars),900,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
178,Congo,2015,Balance of Payments: Current account (millions of US dollars),"-4,629",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
178,Congo,1995,Balance of Payments: Capital account (millions of US dollars),45,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
178,Congo,2010,Balance of Payments: Capital account (millions of US dollars),"2,667",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
178,Congo,2015,Balance of Payments: Capital account (millions of US dollars),70,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
178,Congo,1985,Balance of Payments: Financial account (millions of US dollars),-120,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
178,Congo,1995,Balance of Payments: Financial account (millions of US dollars),-635,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
178,Congo,2010,Balance of Payments: Financial account (millions of US dollars),"3,314",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
178,Congo,2015,Balance of Payments: Financial account (millions of US dollars),"-4,147",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,1985,Balance of Payments: Current account (millions of US dollars),-126,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,1995,Balance of Payments: Current account (millions of US dollars),-358,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,2010,Balance of Payments: Current account (millions of US dollars),"-1,214",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,2015,Balance of Payments: Current account (millions of US dollars),"-1,921",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,2018,Balance of Payments: Current account (millions of US dollars),"-1,890",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,2019,Balance of Payments: Current account (millions of US dollars),"-1,289",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,2010,Balance of Payments: Capital account (millions of US dollars),54,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,2015,Balance of Payments: Capital account (millions of US dollars),31,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,2018,Balance of Payments: Capital account (millions of US dollars),31,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,2019,Balance of Payments: Capital account (millions of US dollars),32,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,1985,Balance of Payments: Financial account (millions of US dollars),17,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,1995,Balance of Payments: Financial account (millions of US dollars),-301,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,2010,Balance of Payments: Financial account (millions of US dollars),"-1,642",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,2015,Balance of Payments: Financial account (millions of US dollars),"-2,611",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,2018,Balance of Payments: Financial account (millions of US dollars),"-1,867",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
188,Costa Rica,2019,Balance of Payments: Financial account (millions of US dollars),"-1,253",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
384,Côte d’Ivoire,2010,Balance of Payments: Current account (millions of US dollars),465,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
384,Côte d’Ivoire,2015,Balance of Payments: Current account (millions of US dollars),-201,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
384,Côte d’Ivoire,2018,Balance of Payments: Current account (millions of US dollars),"-2,285",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
384,Côte d’Ivoire,2019,Balance of Payments: Current account (millions of US dollars),"-1,349",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
384,Côte d’Ivoire,2010,Balance of Payments: Capital account (millions of US dollars),"1,179",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
384,Côte d’Ivoire,2015,Balance of Payments: Capital account (millions of US dollars),265,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
384,Côte d’Ivoire,2018,Balance of Payments: Capital account (millions of US dollars),152,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
384,Côte d’Ivoire,2019,Balance of Payments: Capital account (millions of US dollars),180,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
384,Côte d’Ivoire,2010,Balance of Payments: Financial account (millions of US dollars),"1,591",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
384,Côte d’Ivoire,2015,Balance of Payments: Financial account (millions of US dollars),11,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
384,Côte d’Ivoire,2018,Balance of Payments: Financial account (millions of US dollars),"-2,219",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
384,Côte d’Ivoire,2019,Balance of Payments: Financial account (millions of US dollars),"-1,146",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,1995,Balance of Payments: Current account (millions of US dollars),"-1,442",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2010,Balance of Payments: Current account (millions of US dollars),"-1,485",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2015,Balance of Payments: Current account (millions of US dollars),"1,595",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2018,Balance of Payments: Current account (millions of US dollars),"1,028",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2019,Balance of Payments: Current account (millions of US dollars),"1,456",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2020,Balance of Payments: Current account (millions of US dollars),-532,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2010,Balance of Payments: Capital account (millions of US dollars),77,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2015,Balance of Payments: Capital account (millions of US dollars),370,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2018,Balance of Payments: Capital account (millions of US dollars),856,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2019,Balance of Payments: Capital account (millions of US dollars),"1,207",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2020,Balance of Payments: Capital account (millions of US dollars),"1,456",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,1995,Balance of Payments: Financial account (millions of US dollars),"-1,102",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2010,Balance of Payments: Financial account (millions of US dollars),-862,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2015,Balance of Payments: Financial account (millions of US dollars),"1,987",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2018,Balance of Payments: Financial account (millions of US dollars),"2,112",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2019,Balance of Payments: Financial account (millions of US dollars),"2,687",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
191,Croatia,2020,Balance of Payments: Financial account (millions of US dollars),877,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
531,Curaçao,2015,Balance of Payments: Current account (millions of US dollars),-519,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
531,Curaçao,2018,Balance of Payments: Current account (millions of US dollars),-813,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
531,Curaçao,2019,Balance of Payments: Current account (millions of US dollars),-539,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
531,Curaçao,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
531,Curaçao,2018,Balance of Payments: Capital account (millions of US dollars),2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
531,Curaçao,2019,Balance of Payments: Capital account (millions of US dollars),5,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
531,Curaçao,2015,Balance of Payments: Financial account (millions of US dollars),-483,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
531,Curaçao,2018,Balance of Payments: Financial account (millions of US dollars),-817,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
531,Curaçao,2019,Balance of Payments: Financial account (millions of US dollars),-551,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,1985,Balance of Payments: Current account (millions of US dollars),-180,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,1995,Balance of Payments: Current account (millions of US dollars),-205,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2010,Balance of Payments: Current account (millions of US dollars),"-2,799",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2015,Balance of Payments: Current account (millions of US dollars),-84,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2018,Balance of Payments: Current account (millions of US dollars),-958,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2019,Balance of Payments: Current account (millions of US dollars),"-1,577",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2020,Balance of Payments: Current account (millions of US dollars),"-2,850",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2010,Balance of Payments: Capital account (millions of US dollars),72,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2015,Balance of Payments: Capital account (millions of US dollars),6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2018,Balance of Payments: Capital account (millions of US dollars),151,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2019,Balance of Payments: Capital account (millions of US dollars),27,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2020,Balance of Payments: Capital account (millions of US dollars),20,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,1985,Balance of Payments: Financial account (millions of US dollars),-142,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,1995,Balance of Payments: Financial account (millions of US dollars),-150,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2010,Balance of Payments: Financial account (millions of US dollars),"-3,015",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2015,Balance of Payments: Financial account (millions of US dollars),379,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2018,Balance of Payments: Financial account (millions of US dollars),-882,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2019,Balance of Payments: Financial account (millions of US dollars),"-1,494",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
196,Cyprus,2020,Balance of Payments: Financial account (millions of US dollars),"-2,533",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,1995,Balance of Payments: Current account (millions of US dollars),"-1,374",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2010,Balance of Payments: Current account (millions of US dollars),"-7,351",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2015,Balance of Payments: Current account (millions of US dollars),845,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2018,Balance of Payments: Current account (millions of US dollars),"1,260",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2019,Balance of Payments: Current account (millions of US dollars),898,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2020,Balance of Payments: Current account (millions of US dollars),"8,845",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,1995,Balance of Payments: Capital account (millions of US dollars),6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2010,Balance of Payments: Capital account (millions of US dollars),"1,953",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2015,Balance of Payments: Capital account (millions of US dollars),"4,012",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2018,Balance of Payments: Capital account (millions of US dollars),565,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2019,Balance of Payments: Capital account (millions of US dollars),"1,062",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2020,Balance of Payments: Capital account (millions of US dollars),"3,056",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,1995,Balance of Payments: Financial account (millions of US dollars),-771,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2010,Balance of Payments: Financial account (millions of US dollars),"-6,445",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2015,Balance of Payments: Financial account (millions of US dollars),"7,002",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2018,Balance of Payments: Financial account (millions of US dollars),"2,981",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2019,Balance of Payments: Financial account (millions of US dollars),411,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
203,Czechia,2020,Balance of Payments: Financial account (millions of US dollars),"10,621",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2010,Balance of Payments: Current account (millions of US dollars),"-2,174",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2015,Balance of Payments: Current account (millions of US dollars),"-1,484",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2018,Balance of Payments: Current account (millions of US dollars),"-1,672",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2019,Balance of Payments: Current account (millions of US dollars),"-1,693",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2020,Balance of Payments: Current account (millions of US dollars),"-1,095",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2010,Balance of Payments: Capital account (millions of US dollars),"10,084",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2015,Balance of Payments: Capital account (millions of US dollars),252,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2018,Balance of Payments: Capital account (millions of US dollars),437,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2019,Balance of Payments: Capital account (millions of US dollars),147,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2020,Balance of Payments: Capital account (millions of US dollars),627,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2010,Balance of Payments: Financial account (millions of US dollars),"9,059",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2015,Balance of Payments: Financial account (millions of US dollars),"-1,241",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2018,Balance of Payments: Financial account (millions of US dollars),"-1,348",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2019,Balance of Payments: Financial account (millions of US dollars),-978,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
180,Dem. Rep. of the Congo,2020,Balance of Payments: Financial account (millions of US dollars),-444,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,1985,Balance of Payments: Current account (millions of US dollars),"-2,767",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,1995,Balance of Payments: Current account (millions of US dollars),"1,855",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2010,Balance of Payments: Current account (millions of US dollars),"21,051",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2015,Balance of Payments: Current account (millions of US dollars),"24,953",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2018,Balance of Payments: Current account (millions of US dollars),"24,830",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2019,Balance of Payments: Current account (millions of US dollars),"30,937",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2020,Balance of Payments: Current account (millions of US dollars),"26,023",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2010,Balance of Payments: Capital account (millions of US dollars),84,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2015,Balance of Payments: Capital account (millions of US dollars),"-1,057",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2018,Balance of Payments: Capital account (millions of US dollars),31,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2019,Balance of Payments: Capital account (millions of US dollars),275,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2020,Balance of Payments: Capital account (millions of US dollars),123,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,1985,Balance of Payments: Financial account (millions of US dollars),"-3,071",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,1995,Balance of Payments: Financial account (millions of US dollars),"2,929",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2010,Balance of Payments: Financial account (millions of US dollars),"-1,005",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2015,Balance of Payments: Financial account (millions of US dollars),"17,814",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2018,Balance of Payments: Financial account (millions of US dollars),"16,915",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2019,Balance of Payments: Financial account (millions of US dollars),"22,094",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
208,Denmark,2020,Balance of Payments: Financial account (millions of US dollars),"15,220",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,1995,Balance of Payments: Current account (millions of US dollars),78,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,2010,Balance of Payments: Current account (millions of US dollars),50,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,2015,Balance of Payments: Current account (millions of US dollars),714,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,2018,Balance of Payments: Current account (millions of US dollars),429,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,2019,Balance of Payments: Current account (millions of US dollars),448,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,1995,Balance of Payments: Capital account (millions of US dollars),5,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,2010,Balance of Payments: Capital account (millions of US dollars),55,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,2015,Balance of Payments: Capital account (millions of US dollars),48,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,2018,Balance of Payments: Capital account (millions of US dollars),70,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,2019,Balance of Payments: Capital account (millions of US dollars),40,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,1995,Balance of Payments: Financial account (millions of US dollars),-5,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,2010,Balance of Payments: Financial account (millions of US dollars),-17,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,2015,Balance of Payments: Financial account (millions of US dollars),-380,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,2018,Balance of Payments: Financial account (millions of US dollars),-411,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
262,Djibouti,2019,Balance of Payments: Financial account (millions of US dollars),-458,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
212,Dominica,1985,Balance of Payments: Current account (millions of US dollars),-6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
212,Dominica,1995,Balance of Payments: Current account (millions of US dollars),-40,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
212,Dominica,2010,Balance of Payments: Current account (millions of US dollars),-80,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
212,Dominica,2015,Balance of Payments: Current account (millions of US dollars),-41,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
212,Dominica,2018,Balance of Payments: Current account (millions of US dollars),-225,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
212,Dominica,1995,Balance of Payments: Capital account (millions of US dollars),22,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
212,Dominica,2010,Balance of Payments: Capital account (millions of US dollars),30,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
212,Dominica,2015,Balance of Payments: Capital account (millions of US dollars),55,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
212,Dominica,2018,Balance of Payments: Capital account (millions of US dollars),123,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
212,Dominica,1985,Balance of Payments: Financial account (millions of US dollars),-7,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
