T14,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
8,Albania,2020,Balance of Payments: Financial account (millions of US dollars),-965,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,1985,Balance of Payments: Current account (millions of US dollars),"1,015",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2010,Balance of Payments: Current account (millions of US dollars),"12,220",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2015,Balance of Payments: Current account (millions of US dollars),"-27,038",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2018,Balance of Payments: Current account (millions of US dollars),"-16,709",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2019,Balance of Payments: Current account (millions of US dollars),"-17,148",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2010,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2018,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2019,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,1985,Balance of Payments: Financial account (millions of US dollars),"1,141",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
